MMS Id,ISSN,Aleph Number,Network Number,Material Type
990000001160302486,0739-1927; 0887-0764,(Aleph)000000116EMU01,(OCoLC)12433266,Bound Issue
990000001320302486,1528-9249,(Aleph)000000132EMU01,(OCoLC)43551323,Bound Issue
990000001370302486,0899-6253; 1539-8307,(Aleph)000000137EMU01,(OCoLC)45162629,Bound Issue
990000001760302486,1520-2585; 1531-6815,(Aleph)000000176EMU01,ocm44993528,Bound Issue
990000003170302486,1020-4768,(Aleph)000000317EMU01,(OCoLC)42896946,Bound Issue
990000003250302486,,(Aleph)000000325EMU01,(OCoLC)9681168,Bound Issue
990000009950302486,,(Aleph)000000995EMU01,(OCoLC)44808051,Bound Issue
990000010170302486,1052-9233,(Aleph)000001017EMU01,(OCoLC)22416740,Bound Issue
990000010580302486,1564-2208,(Aleph)000001058EMU01,(OCoLC)53081192,Bound Issue
990000015260302486,1566-6573,(Aleph)000001526EMU01,(OCoLC)44449273,Bound Issue
990000015340302486,1052-5157,(Aleph)000001534EMU01,(OCoLC)22298969,Bound Issue
990000015350302486,0869-5725,(Aleph)000001535EMU01,(OCoLC)28177649,Bound Issue
990000018740302486,,(Aleph)000001874EMU01,ocm43067937,Bound Issue
990000018750302486,,(Aleph)000001875EMU01,(OCoLC)45300783,Bound Issue
990000018760302486,,(Aleph)000001876EMU01,(OCoLC)45300980,Bound Issue
990000018770302486,,(Aleph)000001877EMU01,(OCoLC)45301130,Bound Issue
990000023840302486,,(Aleph)000002384EMU01,(OCoLC)39699480,Bound Issue
990000028060302486,1119-6866,(Aleph)000002806EMU01,(OCoLC)45340454,Bound Issue
990000028090302486,1115-3873,(Aleph)000002809EMU01,ocm45340596,Bound Issue
990000028120302486,,(Aleph)000002812EMU01,ocm45340659,Bound Issue
990000029230302486,1021-9110,(Aleph)000002923EMU01,ocm45340688,Bound Issue
990000031060302486,1528-3577,(Aleph)000003106EMU01,ocm43371409,Bound Issue
990000032680302486,1531-006X,(Aleph)000003268EMU01,(OCoLC)44608013,Bound Issue
990000035770302486,,(Aleph)000003577EMU01,ocm45359948,Bound Issue
990000035780302486,,(Aleph)000003578EMU01,ocm45360396,Bound Issue
990000035790302486,,(Aleph)000003579EMU01,ocm45360485,Bound Issue
990000043640302486,0139-0600,(Aleph)000004364EMU01,(OCoLC)10699967,Bound Issue
990000044850302486,1368-4221,(Aleph)000004485EMU01,(OCoLC)40947216,Bound Issue
990000044900302486,0380-8084,(Aleph)000004490EMU01,ocm20838756,Bound Issue
990000044910302486,3836-669X; 0005-6065,(Aleph)000004491EMU01,(OCoLC)20838628,Bound Issue
990000044940302486,0383-669X,(Aleph)000004494EMU01,(OCoLC)20838830,Bound Issue
990000047660302486,,(Aleph)000004766EMU01,(OCoLC)24044392,Bound Issue
990000047940302486,,(Aleph)000004794EMU01,(OCoLC)26380054,Bound Issue
990000047970302486,,(Aleph)000004797EMU01,(OCoLC)35736661,Bound Issue
990000051590302486,1471-3020,(Aleph)000005159EMU01,(OCoLC)45716095,Bound Issue
990000052180302486,1530-1516,(Aleph)000005218EMU01,(OCoLC)44078619,Bound Issue
990000052190302486,1530-1508,(Aleph)000005219EMU01,(OCoLC)44078561,Bound Issue
990000053380302486,1546-8364; 1059-8405,(Aleph)000005338EMU01,(OCoLC)24758374,Bound Issue
990000053610302486,0871-7486,(Aleph)000005361EMU01,(OCoLC)20654958,Bound Issue
990000054820302486,1053-8186,(Aleph)000005482EMU01,(OCoLC)15133347,Bound Issue
990000054840302486,0766-5075,(Aleph)000005484EMU01,(OCoLC)25066615,Bound Issue
990000054860302486,1530-9576,(Aleph)000005486EMU01,(OCoLC)44598004,Bound Issue
990000054880302486,1058-8369; 0899-6253; 1542-4898,(Aleph)000005488EMU01,(OCoLC)45726219,Bound Issue
990000056130302486,1521-2874,(Aleph)000005613EMU01,ocm45251961,Bound Issue
990000058190302486,0000-2100,(Aleph)000005819EMU01,(OCoLC)45914104,Bound Issue
990000059710302486,,(Aleph)000005971EMU01,ocm45229606,Bound Issue
990000059720302486,,(Aleph)000005972EMU01,ocm45229608,Bound Issue
990000060060302486,1557-1988; 1557-1998; 1557-198X,(Aleph)000006006EMU01,(OCoLC)29217841,Bound Issue
990000060170302486,8756-7164,(Aleph)000006017EMU01,(OCoLC)11635766,Bound Issue
990000060570302486,,(Aleph)000006057EMU01,ocm45450713,Bound Issue
990000066770302486,1086-9948,(Aleph)000006677EMU01,ocm45440749,Bound Issue
990000066800302486,,(Aleph)000006680EMU01,(OCoLC)9201764,Bound Issue
990000067430302486,0010-1931,(Aleph)000006743EMU01,(OCoLC)825065,Bound Issue
990000067850302486,1492-7799,(Aleph)000006785EMU01,(OCoLC)45474611,Bound Issue
990000068180302486,1393-3493,(Aleph)000006818EMU01,(OCoLC)38212568,Bound Issue
990000071610302486,0300-9246; 1472-7773; 1470-479X,(Aleph)000007161EMU01,(OCoLC)44000666,Bound Issue
990000072290302486,1118-5910,(Aleph)000007229EMU01,(OCoLC)42732625,Bound Issue
990000072300302486,,(Aleph)000007230EMU01,ocm45492066,Bound Issue
990000072390302486,1521-6136,(Aleph)000007239EMU01,(OCoLC)39226063,Bound Issue
990000075720302486,1942-8774,(Aleph)000007572EMU01,(OCoLC)37950103,Bound Issue
990000079240302486,1033-2243; 1445-9361,(Aleph)000007924EMU01,(OCoLC)45503033,Bound Issue
